Product Name,Image URL
"MAGGI Masala-Magic Veg , 72g Pouch (12 Sachet)",https://m.media-amazon.com/images/I/81EVdYMInjL._AC_UL320_ML3_.jpg
"Tata Sampann Garam Masala, 100g",https://m.media-amazon.com/images/I/61aDWl8ZMGL._AC_UL320_ML3_.jpg
"Catch Super Garam Masala Powder, 200g",https://m.media-amazon.com/images/I/71lKpDSKPUL._AC_UL320_ML3_.jpg
"Tata Sampann Kitchen King Masala, 100g",https://m.media-amazon.com/images/I/61Nh8AAPQZL._AC_UL320_ML3_.jpg
"Tata Sampann Punjabi Chhole Masala, 100g",https://m.media-amazon.com/images/I/61lgW8j2oWL._AC_UL320_ML3_.jpg
"Tata Sampann Chicken Masala, 100g",https://m.media-amazon.com/images/I/81Qttr9-9SL._AC_UL320_ML3_.jpg
"Tata Sampann Turmeric Powder Masala, 200g",https://m.media-amazon.com/images/I/81KUZdV7cUL._AC_UL320_ML3_.jpg
"Tata Sampann Coriander Powder Masala, 100g",https://m.media-amazon.com/images/I/71uCKZ6+bcL._AC_UL320_ML3_.jpg
"Kohinoor Hyderabadi Biryani Masala, 15g",https://m.media-amazon.com/images/I/51nBj4cqGGL._AC_UL320_ML3_.jpg
"Catch Sprinkles Chat Masala, 100g",https://m.media-amazon.com/images/I/71JUg+ndx6L._AC_UL320_ML3_.jpg
"Everest Chat Masala, 100g",https://m.media-amazon.com/images/I/71ASmMVk5FL._AC_UL320_ML3_.jpg
"Catch Masala Amchur Powder, 100g Carton",https://m.media-amazon.com/images/I/81AIkaDjnVL._AC_UL320_ML3_.jpg
"Tata Sampann Dal Tadka Masala, 100g",https://m.media-amazon.com/images/I/810mUd4F0rL._AC_UL320_ML3_.jpg
"Tata Sampann Pav Bhaji Masala, 100g",https://m.media-amazon.com/images/I/81zo+1GVEyL._AC_UL320_ML3_.jpg
"Tata Sampann Meat Masala, 100g",https://m.media-amazon.com/images/I/61j6sCPpNqL._AC_UL320_ML3_.jpg
"Kohinoor Punjabi Paneer Butter Masala, 15g",https://m.media-amazon.com/images/I/61SiPdhd3xL._AC_UL320_ML3_.jpg
"Tata Sampann Coriander Powder Masala, 200g",https://m.media-amazon.com/images/I/81UDgfHYTRL._AC_UL320_ML3_.jpg
"Everest Kitchen King Masala, 100g Carton",https://m.media-amazon.com/images/I/71C4pfyUoRL._AC_UL320_ML3_.jpg
"Kohinoor Rajma Masala, 15g with Pav Bhaji Masala, 15g, Paneer Masala, 15g and Garam Masala, 40g Combo Pack",https://m.media-amazon.com/images/I/51GHPzvK4OL._AC_UL320_ML3_.jpg
"Catch Kitchen King, 100g",https://m.media-amazon.com/images/I/81R7vk82YsL._AC_UL320_ML3_.jpg
"Catch Powder, Garam Masala, 50g Carton",https://m.media-amazon.com/images/I/710gbS5k9+L._AC_UL320_ML3_.jpg
"Catch Rajma Masala, 100g",https://m.media-amazon.com/images/I/81GwbjHNQjL._AC_UL320_ML3_.jpg
"Catch Chat Pata Masala, 100g",https://m.media-amazon.com/images/I/81SgK7L7WpL._AC_UL320_ML3_.jpg
"Kohinoor Punjabi Butter Chicken Masala, 15g",https://m.media-amazon.com/images/I/5127zXmxugL._AC_UL320_ML3_.jpg
Tata Sampann Sambhar Masala - 45 gm.,https://m.media-amazon.com/images/I/81nSle26WRL._AC_UL320_ML3_.jpg
"Tata Sampann Punjabi Chhole Masala, 45g",https://m.media-amazon.com/images/I/91NJ+5k5-PL._AC_UL320_ML3_.jpg
"Tata Sampann Kitchen King Masala, 45g",https://m.media-amazon.com/images/I/61aDgvdwgKL._AC_UL320_ML3_.jpg
"Kohinoor Garam Masala-E -Khaas, 40g",https://m.media-amazon.com/images/I/51slREc7taL._AC_UL320_ML3_.jpg
"Catch Dal Makhani Masala, 100g",https://m.media-amazon.com/images/I/81WLvx1odnL._AC_UL320_ML3_.jpg
"Tata Sampann Paneer Masala, 100g",https://m.media-amazon.com/images/I/61qyWf63xNL._AC_UL320_ML3_.jpg
"Kohinoor Amritsari Tandoori Chicken Masala, 15g",https://m.media-amazon.com/images/I/51nO0eoU97L._AC_UL320_ML3_.jpg
"Pure & Sure Organic Garam Masala, 100g",https://m.media-amazon.com/images/I/81jqeVCxtPL._AC_UL320_ML3_.jpg
"Kohinoor Jammu Rajma Masala, 15g",https://m.media-amazon.com/images/I/51DWzXwl4JL._AC_UL320_ML3_.jpg
"Catch Chana Masala, 100g",https://m.media-amazon.com/images/I/8187e1QxBRL._AC_UL320_ML3_.jpg
"Everest Masala Powder - Tandoori Chicken, 100g Carton",https://m.media-amazon.com/images/I/61vQnrcYS2L._AC_UL320_ML3_.jpg
"Catch Meat Masala, 100g",https://m.media-amazon.com/images/I/81Il4A0KaBL._AC_UL320_ML3_.jpg
"Tata Sampann Chilli Powder Masala, 200g",https://m.media-amazon.com/images/I/81Pf3UTl+LL._AC_UL320_ML3_.jpg
"Catch Garam Masala, Carton, 100g",https://m.media-amazon.com/images/I/812aExAnLjL._AC_UL320_ML3_.jpg
"Pro Nature 100% Organic Garam Masala, 100g",https://m.media-amazon.com/images/I/91-cBudtYeL._AC_UL320_ML3_.jpg
"Pure & Sure Organic Pulav Masala, 100g",https://m.media-amazon.com/images/I/91m+1BqJDsL._AC_UL320_ML3_.jpg
"Catch Coriander Powder, 100g",https://m.media-amazon.com/images/I/7154zLsH36L._AC_UL320_ML3_.jpg
"Shelly's Garam Masala, 25g",https://m.media-amazon.com/images/I/81omDVkKobL._AC_UL320_ML3_.jpg
"Pure & Sure Organic Pav Bhaji Masala, 100g",https://m.media-amazon.com/images/I/81+Ol16BDKL._AC_UL320_ML3_.jpg
"Pure & Sure Organic Channa Masala, 100g",https://m.media-amazon.com/images/I/91OGeLlIHhL._AC_UL320_ML3_.jpg
"Keya Piri Piri, 80g",https://m.media-amazon.com/images/I/61z5ENwn2PL._AC_UL320_ML3_.jpg
"24 Mantra Organic Sambar Powder, 100g",https://m.media-amazon.com/images/I/81XhyE0cYDL._AC_UL320_ML3_.jpg
"Catch Red Chilli Powder, 200g",https://m.media-amazon.com/images/I/71Sx0MN0kvL._AC_UL320_ML3_.jpg
"Organic Tattva Chana Masala, 100g",https://m.media-amazon.com/images/I/91Jp5p1QAvL._AC_UL320_ML3_.jpg
"Amazon Brand - Vedaka Spice combo - Cumin Seeds (Jeera), Mustard Seeds (Rai) Big, Fenugreek (Methi), 300g (100g each)",https://m.media-amazon.com/images/I/81OLXBGIyeL._AC_UL320_ML3_.jpg
"Pure & Sure Organic Powder, Bisibelebath, 100g",https://m.media-amazon.com/images/I/91chMI4eMZL._AC_UL320_ML3_.jpg
"Kitchens of India, Daily Treat, Rajma Masala, 285g",https://m.media-amazon.com/images/I/61dcQC7wKvL._AC_UL320_ML3_.jpg
"24 Mantra Organic Coriander Powder, 100g",https://m.media-amazon.com/images/I/71MD+Le-43L._AC_UL320_ML3_.jpg
"Keya Pizza Seasoning, 45g",https://m.media-amazon.com/images/I/71UxDwXja2L._AC_UL320_ML3_.jpg
"Amazon Brand - Solimo Mixed Herbs, 25g",https://m.media-amazon.com/images/I/61TERzVGU8L._AC_UL320_ML3_.jpg
"24 Mantra Organic Rasam Powder, 100g",https://m.media-amazon.com/images/I/815kyqbUBTL._AC_UL320_ML3_.jpg
"Pro Nature 100% Organic Cinnamon Bark, 50g",https://m.media-amazon.com/images/I/81YnnxPpp2L._AC_UL320_ML3_.jpg
"Catch Sprinklers Black Salt, 200g",https://m.media-amazon.com/images/I/71niNV1MhGL._AC_UL320_ML3_.jpg
"Catch Jeera Powder, Pouch, 100g",https://m.media-amazon.com/images/I/81t5vQbySeL._AC_UL320_ML3_.jpg
"Tata Sampann Turmeric Powder, 500g",https://m.media-amazon.com/images/I/71prVxLqlQL._AC_UL320_ML3_.jpg
"24 Mantra Organic Chilli Powder, 200g",https://m.media-amazon.com/images/I/912tJyvczIL._AC_UL320_ML3_.jpg
"Pro Nature 100% Organic Cumin Powder, 100g",https://m.media-amazon.com/images/I/912EDAb1EKL._AC_UL320_ML3_.jpg
"Organic Tattva Rasam Powder, 100g",https://m.media-amazon.com/images/I/91s+eomkiQL._AC_UL320_ML3_.jpg
"Tata Sampann Chilli Powder, 500g",https://m.media-amazon.com/images/I/713Ndrc9hZL._AC_UL320_ML3_.jpg
"Pro Nature 100% Organic Coriander Powder, 100g",https://m.media-amazon.com/images/I/910AWyQ1kiL._AC_UL320_ML3_.jpg
"Amazon Brand - Vedaka Red Chilli (Lal Mirch) Powder, 200g",https://m.media-amazon.com/images/I/81h8vfGRsAL._AC_UL320_ML3_.jpg
"Tata Salt, 1kg",https://m.media-amazon.com/images/I/61SacrIvdEL._AC_UL320_ML3_.jpg
"Catch Sprinklers Iodized Table Salt, 200g",https://m.media-amazon.com/images/I/71GQ06TtPML._AC_UL320_ML3_.jpg
"Everest Dry Mango Powder, 100g Carton",https://m.media-amazon.com/images/I/71C+2Ft07eL._AC_UL320_ML3_.jpg
Keya Pizza Oregano 80g,https://m.media-amazon.com/images/I/61j4KQS6-oL._AC_UL320_ML3_.jpg
"Pro Nature 100% Organic Turmeric Powder, 100g",https://m.media-amazon.com/images/I/81+DWH0R45L._AC_UL320_ML3_.jpg
"Tata Sampann Coriander Powder, 500g",https://m.media-amazon.com/images/I/71f05LBpwcL._AC_UL320_ML3_.jpg
"Amazon Brand - Vedaka Cumin (Jeera) Seed, 100g",https://m.media-amazon.com/images/I/81slYyPTUbL._AC_UL320_ML3_.jpg
"24 Mantra Organic Chilli Powder, 100g",https://m.media-amazon.com/images/I/81QPZ7-785L._AC_UL320_ML3_.jpg
Pro Nature 100% Organic Cardamom (Large) 10g,https://m.media-amazon.com/images/I/81etM2BWWoL._AC_UL320_ML3_.jpg
"Pure & Sure Organic Powder, Coriander, 100g",https://m.media-amazon.com/images/I/91XgEkmchUL._AC_UL320_ML3_.jpg
"Catch Turmeric Powder, 500g",https://m.media-amazon.com/images/I/71PC4MMJ8HL._AC_UL320_ML3_.jpg
"Kitchens of India, Daily Treat, Dal Makhani, 285g",https://m.media-amazon.com/images/I/61vmuzbdFEL._AC_UL320_ML3_.jpg
"Organic Tattva Coriander Powder, 100g",https://m.media-amazon.com/images/I/71MmfwVGWSL._AC_UL320_ML3_.jpg
"Mother Earth Coriander Seeds - Organic, 100g",https://m.media-amazon.com/images/I/61qWBHj0h2L._AC_UL320_ML3_.jpg
"Amazon Brand - Solimo Oregano, 25g",https://m.media-amazon.com/images/I/61wJFrDJ6gL._AC_UL320_ML3_.jpg
"24 Mantra Organic Cloves, 50g",https://m.media-amazon.com/images/I/91eVkfN-OvL._AC_UL320_ML3_.jpg
"24 Mantra Organic Turmeric Powder, 200g",https://m.media-amazon.com/images/I/910Hax4bU6L._AC_UL320_ML3_.jpg
Pro Nature 100% Organic Cumin (Whole) 100g,https://m.media-amazon.com/images/I/81VRb+tMNmL._AC_UL320_ML3_.jpg
"Mother Earth Jeera/Cumin Seeds - Organic, 100g",https://m.media-amazon.com/images/I/61qNt0gQhNL._AC_UL320_ML3_.jpg
"Tata Salt Lite, Low Sodium, 1kg",https://m.media-amazon.com/images/I/616UEflOFyL._AC_UL320_ML3_.jpg
"Amazon Brand - Vedaka Coriander (Dhania) Seeds, 200g",https://m.media-amazon.com/images/I/81qtq9OKvXL._AC_UL320_ML3_.jpg
"Keya Salad Seasoning, 80g",https://m.media-amazon.com/images/I/61PhQdc1H-L._AC_UL320_ML3_.jpg
"Organic Tattva Fennel, 100g",https://m.media-amazon.com/images/I/71XF47LBs-L._AC_UL320_ML3_.jpg
"Pure & Sure Organic Chilli Powder Hot, 100g",https://m.media-amazon.com/images/I/81ZagwUxogL._AC_UL320_ML3_.jpg
"Amazon Brand - Vedaka Fenugreek (Methi), 200g",https://m.media-amazon.com/images/I/81qFLkYrDqL._AC_UL320_ML3_.jpg
"Pro Nature 100% Organic Coriander Whole, 100g",https://m.media-amazon.com/images/I/81EorPTZ6aL._AC_UL320_ML3_.jpg
"Catch Compounded Hing, 100g",https://m.media-amazon.com/images/I/61s1IzWxfNL._AC_UL320_ML3_.jpg
"Kitchens of India, Daily Treat, Aloo Mutter, 285g",https://m.media-amazon.com/images/I/61lGjquZoLL._AC_UL320_ML3_.jpg
"Amazon Brand - Vedaka Mustard Seeds (Rai) Small, 200g",https://m.media-amazon.com/images/I/81MiYe3wnhL._AC_UL320_ML3_.jpg
"Keya Black Pepper Grinder, 50g",https://m.media-amazon.com/images/I/4115+6g8ETL._AC_UL320_ML3_.jpg
"Amazon Brand - Vedaka Cardamom (Elaichi), 100g",https://m.media-amazon.com/images/I/91z9jjsgx9L._AC_UL320_ML3_.jpg
